Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/01  08:00:00,1270.66251102,100.316204857,424.876985466,0.0,243.2593065,310.10971186,461.657302329,376.710851152,56.6466996096,28.2997515672
 08/01  09:00:00,1298.15692613,101.18851483,417.736142785,0.0,243.2593065,302.612436532,439.359895158,363.337955731,42.4850247072,33.5369147204
 08/01  10:00:00,1295.55361288,102.143341325,405.829573148,0.0,243.2593065,310.10971186,453.166907644,346.767420723,70.808374512,35.5911124094
 08/01  11:00:00,1279.4702528,103.234340427,385.887997116,0.0,243.2593065,310.10971186,444.90437815,329.531679225,70.808374512,44.5643244123
 08/01  12:00:00,1225.31268672,104.386132694,370.990566374,0.0,243.2593065,310.10971186,422.494806901,316.22659185,70.808374512,35.4598405384
 08/01  13:00:00,1256.1863866,105.580080843,366.923363725,0.0,243.2593065,302.612436532,400.877719838,308.587116225,56.6466996096,35.6439040037
 08/01  14:00:00,1253.00654569,106.79997384,362.498054396,0.0,243.2593065,302.612436532,377.386153649,299.312513593,42.4850247072,35.5886153489
 08/01  15:00:00,1246.71067716,108.809103473,354.977942372,0.0,243.2593065,302.612436532,374.08026689,281.907259741,56.6466996096,35.5263075391
 08/01  16:00:00,1251.14339485,110.852049056,350.759983603,0.0,243.2593065,310.10971186,389.79956668,269.491127969,84.9700494144,35.3383892971
 08/01  17:00:00,1248.03732679,112.150960105,346.99609581,0.0,243.2593065,310.10971186,365.738473458,263.264299647,84.9700494144,17.5041243961
 08/01  18:00:00,987.804410532,95.2893542894,367.762080965,0.0,166.938926447,199.110933808,385.057095045,282.64041688,84.9700494144,17.4466287507
 08/01  19:00:00,989.796737702,95.2893542894,377.089190644,0.0,166.938926447,191.61365848,366.107659185,292.016126215,56.6466996096,17.4448333608
 08/01  20:00:00,866.948540945,95.2893542894,380.7091978,0.0,100.150657288,124.558693486,418.016975647,343.92709524,56.6466996096,17.4431807973
