Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/04  16:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,42.08202349,42.08202349,,
 01/04  17:00:00,70.23379224,4.362540434,0,0,49.33102137,9.104397103,44.52393769,44.52393769,,
 01/04  18:00:00,30.32621354,0.913141035,0,0,16.44367379,4.046398712,30.8747326,30.8747326,,
 01/04  19:00:00,16.17446471,0.75864044,0,0,5.481224596,1.011599678,25.27751436,25.27751436,,
 01/04  20:00:00,16.39696214,0.981137861,0,0,5.481224596,1.011599678,32.54638714,32.54638714,,
 01/04  21:00:00,16.09098124,0.675156969,0,0,5.481224596,1.011599678,22.27171575,22.27171575,,
 01/04  22:00:00,16.30749387,0.891669599,0,0,5.481224596,1.011599678,29.40586994,29.40586994,,
 01/04  23:00:00,16.12436869,0.708544417,0,0,5.481224596,1.011599678,23.23384362,23.23384362,,
 01/04  24:00:00,16.55616091,1.140336634,0,0,5.481224596,1.011599678,37.40719977,37.40719977,,
 01/05  01:00:00,16.35399523,0.938170952,0,0,5.481224596,1.011599678,30.62304137,30.62304137,,
 01/05  02:00:00,16.76147809,1.345653811,0,0,5.481224596,1.011599678,44.0291346,44.0291346,,
 01/05  03:00:00,16.40181947,0.985995197,0,0,5.481224596,1.011599678,32.13600656,32.13600656,,
 01/05  04:00:00,16.73681146,1.320987188,0,0,5.481224596,1.011599678,43.1415987,43.1415987,,
 01/05  05:00:00,16.42438586,1.008561586,0,0,5.481224596,1.011599678,32.8257959,32.8257959,,
 01/05  06:00:00,16.79996325,1.384138973,0,0,5.481224596,1.011599678,45.17237388,45.17237388,,
 01/05  07:00:00,19.77836471,4.362540434,0,0,5.481224596,1.011599678,63.33041735,63.33041735,,
 01/05  08:00:00,40.26843721,4.362540434,0,0,21.92489839,5.05799839,53.20396617,53.20396617,,
 01/05  09:00:00,50.82391003,4.362540434,0,0,38.36857217,8.092797425,42.76546472,42.76546472,,
 01/05  10:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,37.45518692,37.45518692,,
 01/05  11:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,36.98462203,36.98462203,,
 01/05  12:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,24.83215774,24.83215774,,
 01/05  13:00:00,56.30513463,4.362540434,0,0,43.84979677,8.092797425,16.8432453,16.8432453,,
 01/05  14:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,13.38186955,13.38186955,,
 01/05  15:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,11.83636092,11.83636092,,
 01/05  16:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,12.33319845,12.33319845,,
 01/05  17:00:00,68.74662557,4.362540434,0,0,49.33102137,9.104397103,22.08973888,22.08973888,,
 01/05  18:00:00,30.18647714,0.773404637,0,0,16.44367379,4.046398712,26.09655533,26.09655533,,
