Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/25  14:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/25  15:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/25  16:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/25  17:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/25  18:00:00,38.14527291,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 09/25  19:00:00,47.71610624,7.14850634,0,0,21.8919046,7.190695296,1.445451829,1.445451829,,
 09/25  20:00:00,43.16861856,7.14850634,0,0,18.24325384,6.291858384,16.68103626,16.68103626,,
 09/25  21:00:00,22.37764918,0,0,0,7.297301534,3.595347648,0,0,,
 09/25  22:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/25  23:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/25  24:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/26  01:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/26  02:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/26  03:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/26  04:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/26  05:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/26  06:00:00,22.25550555,7.14850634,0,0,1.824325384,1.797673824,121.2028787,121.2028787,,
 09/26  07:00:00,18.04115552,7.14850634,0,0,7.297301534,3.595347648,96.71200947,96.71200947,,
 09/26  08:00:00,31.68361856,7.14850634,0,0,18.24325384,6.291858384,70.37660311,70.37660311,,
 09/26  09:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,26.86033218,26.86033218,,
 09/26  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,2.696784837,2.696784837,,
 09/26  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/26  12:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/26  13:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/26  14:00:00,48.14587207,7.14850634,0.069976616,0,32.8378569,8.089532208,0,0,,
 09/26  15:00:00,48.68159493,7.14850634,0.605699474,0,32.8378569,8.089532208,0,0,,
 09/26  16:00:00,48.49639679,7.14850634,0.420501333,0,32.8378569,8.089532208,0,0,,
 09/26  17:00:00,48.09529415,7.14850634,0.019398693,0,32.8378569,8.089532208,0,0,,
 09/26  18:00:00,38.14527291,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 09/26  19:00:00,47.71610624,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 09/26  20:00:00,43.16861856,7.14850634,0,0,18.24325384,6.291858384,0.600380352,0.600380352,,
 09/26  21:00:00,22.37764918,0,0,0,7.297301534,3.595347648,0,0,,
 09/26  22:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/26  23:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/26  24:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/27  01:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/27  02:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/27  03:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/27  04:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/27  05:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/27  06:00:00,22.25550555,7.14850634,0,0,1.824325384,1.797673824,107.5597266,107.5597266,,
 09/27  07:00:00,18.04115552,7.14850634,0,0,7.297301534,3.595347648,85.50954261,85.50954261,,
 09/27  08:00:00,31.68361856,7.14850634,0,0,18.24325384,6.291858384,65.35750783,65.35750783,,
 09/27  09:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,27.09847934,27.09847934,,
 09/27  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,2.76838024,2.76838024,,
 09/27  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/27  12:00:00,48.07854508,7.14850634,0.00264963,0,32.8378569,8.089532208,0,0,,
 09/27  13:00:00,48.31724548,7.14850634,0.241350028,0,32.8378569,8.089532208,0,0,,
 09/27  14:00:00,49.54470155,7.14850634,1.468806095,0,32.8378569,8.089532208,0,0,,
 09/27  15:00:00,50.70634573,7.14850634,2.630450275,0,32.8378569,8.089532208,0,0,,
 09/27  16:00:00,48.91103104,7.14850634,0.835135587,0,32.8378569,8.089532208,0,0,,
 09/27  17:00:00,48.08495634,7.14850634,0.009060885,0,32.8378569,8.089532208,0,0,,
 09/27  18:00:00,38.14527291,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 09/27  19:00:00,47.71610624,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 09/27  20:00:00,43.16861856,7.14850634,0,0,18.24325384,6.291858384,2.848790211,2.848790211,,
 09/27  21:00:00,22.37764918,0,0,0,7.297301534,3.595347648,0,0,,
 09/27  22:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/27  23:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/27  24:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/28  01:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/28  02:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/28  03:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
