Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 03/11  23:00:00,70.1361552706,17.3740736669,11.1294629938,0.0,4.12243109448,15.9888894789,84.7865466736,81.7948162558,2.97173041782,0.02
 03/11  24:00:00,83.6922347648,23.4677186264,13.7317005141,4.79768245967,4.12243109448,15.9888894789,115.404410355,103.830809889,2.97173041782,8.60187004751
 03/12  01:00:00,74.8115057751,19.1242002097,10.7528566448,6.71071279804,2.06121554724,15.9888894789,86.4096957013,83.4179652834,2.97173041782,0.02
 03/12  02:00:00,85.3671925159,23.9052502621,13.965020093,9.48538528697,2.06121554724,15.9888894789,108.279372125,105.287641707,2.97173041782,0.02
 03/12  03:00:00,74.5547518244,19.1242002097,11.0281707255,8.51265935404,2.06121554724,15.9888894789,88.1400313936,85.1483009758,2.97173041782,0.02
 03/12  04:00:00,87.3484128974,23.9052502621,13.5147642833,11.5954289246,2.06121554724,15.9888894789,110.09664733,107.104916912,2.97173041782,0.02
 03/12  05:00:00,76.0289017208,19.1242002097,10.7180419048,9.91452157257,2.06121554724,15.9888894789,89.0734581476,86.0817277298,2.97173041782,0.02
 03/12  06:00:00,86.3256935635,23.9052502621,13.4695442408,13.2082513579,2.06121554724,15.9888894789,111.315044461,108.323314044,2.97173041782,0.02
 03/12  07:00:00,69.0123902969,19.1242002097,10.52458547,11.1271457162,2.06121554724,15.9888894789,90.0119411537,87.0202107359,2.97173041782,0.02
 03/12  08:00:00,101.149899217,23.9052502621,13.290356405,12.4324483704,4.12243109448,41.7362269337,108.545967719,103.573083689,4.9528840297,0.02
 03/12  09:00:00,89.9288327531,19.1242002097,10.6604529453,9.7924135064,4.12243109448,41.7362269337,86.4940533133,81.5211692836,4.9528840297,0.02
 03/12  10:00:00,101.081245457,23.9052502621,13.3950021382,11.822832237,4.12243109448,41.7362269337,105.678638829,100.705754799,4.9528840297,0.02
 03/12  11:00:00,89.5349811273,19.1242002097,10.9570245837,9.1040540036,4.12243109448,41.7362269337,85.2110998885,80.2382158589,4.9528840297,0.02
 03/12  12:00:00,99.6447559673,23.8177439349,14.1595016155,9.88195392521,4.12243109448,41.7362269337,104.208713753,99.2358297232,4.9528840297,0.02
