Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/02  18:00:00,21.95372581,9.526118998,0,0,7.640478988,4.787127827,0,0,,
 07/02  19:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  20:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  21:00:00,10.59362602,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  22:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  23:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/02  24:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/03  01:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/03  02:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/03  03:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/03  04:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/03  05:00:00,5.681350327,0,0,0,1.910119747,2.393563913,0,0,,
 07/03  06:00:00,14.26573229,9.532438012,0,0.429610622,1.910119747,2.393563913,55.48202079,55.48202079,,
 07/03  07:00:00,22.24324116,9.532438012,0,0.283196333,7.640478988,4.787127827,35.31925774,35.31925774,,
 07/03  08:00:00,37.21537268,9.532438012,0,0.204263501,19.10119747,8.377473697,23.09929045,23.09929045,,
 07/03  09:00:00,54.74205144,9.532438012,0,0.056420374,34.38215545,10.77103761,4.886243073,4.886243073,,
 07/03  10:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0.074972115,0.074972115,,
 07/03  11:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0,0,,
 07/03  12:00:00,54.69342588,9.526118998,0.014113827,0,34.38215545,10.77103761,0,0,,
 07/03  13:00:00,54.76798698,9.526118998,0.08867492,0,34.38215545,10.77103761,0,0,,
 07/03  14:00:00,54.72958042,9.526118998,0.050268361,0,34.38215545,10.77103761,0,0,,
 07/03  15:00:00,54.69805849,9.526118998,0.018746438,0,34.38215545,10.77103761,0,0,,
 07/03  16:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0,0,,
 07/03  17:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0,0,,
 07/03  18:00:00,42.02181162,9.526118998,0,0,22.92143696,9.574255654,0,0,,
 07/03  19:00:00,42.02181162,9.526118998,0,0,22.92143696,9.574255654,0,0,,
 07/03  20:00:00,37.00730291,9.527172167,0,0.00145958,19.10119747,8.377473697,0.653312959,0.653312959,,
 07/03  21:00:00,19.31594015,0,0,0,7.640478988,4.787127827,0,0,,
 07/03  22:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/03  23:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/03  24:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/04  01:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  02:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  03:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  04:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  05:00:00,5.082959349,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  06:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  07:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  08:00:00,17.38008438,9.532438012,0,0.437061002,3.820239494,3.59034587,58.89248433,58.89248433,,
 07/04  09:00:00,17.20480877,9.532438012,0,0.261785394,3.820239494,3.59034587,39.97641601,39.97641601,,
 07/04  10:00:00,32.16008972,9.532438012,0,0.166001988,15.28095798,7.18069174,25.8702652,25.8702652,,
 07/04  11:00:00,32.05499677,9.532438012,0,0.060909043,15.28095798,7.18069174,18.82794789,18.82794789,,
 07/04  12:00:00,42.02181162,9.526118998,0,0,22.92143696,9.574255654,6.15474241,6.15474241,,
 07/04  13:00:00,42.02181162,9.526118998,0,0,22.92143696,9.574255654,0.436945534,0.436945534,,
 07/04  14:00:00,42.02181162,9.526118998,0,0,22.92143696,9.574255654,0,0,,
 07/04  15:00:00,42.02181162,9.526118998,0,0,22.92143696,9.574255654,0,0,,
 07/04  16:00:00,42.02181162,9.526118998,0,0,22.92143696,9.574255654,0,0,,
 07/04  17:00:00,31.98776871,9.526118998,0,0,15.28095798,7.18069174,0,0,,
 07/04  18:00:00,21.95372581,9.526118998,0,0,7.640478988,4.787127827,1.564758501,1.564758501,,
 07/04  19:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  20:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  21:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  22:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  23:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/04  24:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/05  01:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/05  02:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/05  03:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/05  04:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/05  05:00:00,5.681350327,0,0,0,1.910119747,2.393563913,0,0,,
 07/05  06:00:00,14.4982644,9.532438012,0,0.662142732,1.910119747,2.393563913,83.22918965,83.22918965,,
 07/05  07:00:00,22.37440331,9.532438012,0,0.414358481,7.640478988,4.787127827,51.34311956,51.34311956,,
 07/05  08:00:00,37.28828649,9.532438012,0,0.277177314,19.10119747,8.377473697,31.35763774,31.35763774,,
 07/05  09:00:00,54.79294477,9.532438012,0,0.107313706,34.38215545,10.77103761,6.236776153,6.236776153,,
 07/05  10:00:00,54.68798188,9.528225336,0,0.00656349,34.38215545,10.77103761,0.041141253,0.041141253,,
 07/05  11:00:00,54.6901959,9.526118998,0.010883844,0,34.38215545,10.77103761,0,0,,
 07/05  12:00:00,54.95958259,9.526118998,0.280270536,0,34.38215545,10.77103761,0,0,,
 07/05  13:00:00,55.10159086,9.526118998,0.422278803,0,34.38215545,10.77103761,0,0,,
 07/05  14:00:00,55.28981223,9.526118998,0.610500171,0,34.38215545,10.77103761,0,0,,
 07/05  15:00:00,55.55889868,9.526118998,0.879586627,0,34.38215545,10.77103761,0,0,,
 07/05  16:00:00,55.67093477,9.526118998,0.991622713,0,34.38215545,10.77103761,0,0,,
 07/05  17:00:00,55.63625792,9.526118998,0.956945866,0,34.38215545,10.77103761,0,0,,
 07/05  18:00:00,42.68241187,9.526118998,0.660600251,0,22.92143696,9.574255654,0,0,,
 07/05  19:00:00,42.40780174,9.526118998,0.38599012,0,22.92143696,9.574255654,0,0,,
 07/05  20:00:00,37.16114692,9.526118998,0.156356752,0,19.10119747,8.377473697,0,0,,
 07/05  21:00:00,20.69360682,0,0,0,7.640478988,4.787127827,0,0,,
 07/05  22:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/05  23:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/05  24:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/06  01:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/06  02:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/06  03:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/06  04:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/06  05:00:00,5.681350327,0,0,0,1.910119747,2.393563913,0,0,,
 07/06  06:00:00,14.26471842,9.532438012,0,0.42859675,1.910119747,2.393563913,57.50712571,57.50712571,,
 07/06  07:00:00,22.20694923,9.532438012,0,0.2469044,7.640478988,4.787127827,30.56464404,30.56464404,,
 07/06  08:00:00,37.12546288,9.532438012,0,0.114353702,19.10119747,8.377473697,10.13012365,10.13012365,,
 07/06  09:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,3.16E-06,3.16E-06,,
 07/06  10:00:00,54.7659276,9.526118998,0.086615542,0,34.38215545,10.77103761,0,0,,
 07/06  11:00:00,55.06792583,9.526118998,0.388613773,0,34.38215545,10.77103761,0,0,,
 07/06  12:00:00,55.44790261,9.526118998,0.768590552,0,34.38215545,10.77103761,0,0,,
 07/06  13:00:00,56.18762401,9.526118998,1.508311952,0,34.38215545,10.77103761,0,0,,
 07/06  14:00:00,57.689244,9.526118998,3.009931946,0,34.38215545,10.77103761,0,0,,
 07/06  15:00:00,59.90129489,9.526118998,5.221982834,0,34.38215545,10.77103761,0,0,,
 07/06  16:00:00,60.63470397,9.526118998,5.955391917,0,34.38215545,10.77103761,0,0,,
 07/06  17:00:00,59.94993871,9.526118998,5.270626652,0,34.38215545,10.77103761,0,0,,
 07/06  18:00:00,46.75455106,9.526118998,4.732739447,0,22.92143696,9.574255654,0,0,,
 07/06  19:00:00,43.20059276,9.526118998,1.178781146,0,22.92143696,9.574255654,0,0,,
 07/06  20:00:00,37.33354976,9.526118998,0.328759599,0,19.10119747,8.377473697,0,0,,
 07/06  21:00:00,20.69360682,0,0,0,7.640478988,4.787127827,0,0,,
 07/06  22:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/06  23:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/06  24:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/07  01:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/07  02:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/07  03:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/07  04:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/07  05:00:00,7.059016994,0,0,0,1.910119747,2.393563913,0,0,,
 07/07  06:00:00,14.00615085,9.532438012,0,0.170029179,1.910119747,2.393563913,22.68271062,22.68271062,,
 07/07  07:00:00,22.05386323,9.532438012,0,0.093818401,7.640478988,4.787127827,9.018288552,9.018288552,,
 07/07  08:00:00,37.0309042,9.531384843,0,0.02084819,19.10119747,8.377473697,0.076978776,0.076978776,,
 07/07  09:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0,0,,
 07/07  10:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0,0,,
 07/07  11:00:00,54.69306696,9.526118998,0.013754905,0,34.38215545,10.77103761,0,0,,
 07/07  12:00:00,54.76411603,9.526118998,0.084803976,0,34.38215545,10.77103761,0,0,,
 07/07  13:00:00,54.88174728,9.526118998,0.202435229,0,34.38215545,10.77103761,0,0,,
 07/07  14:00:00,54.96834021,9.526118998,0.289028155,0,34.38215545,10.77103761,0,0,,
 07/07  15:00:00,55.02385314,9.526118998,0.34454108,0,34.38215545,10.77103761,0,0,,
 07/07  16:00:00,54.9653938,9.526118998,0.286081744,0,34.38215545,10.77103761,0,0,,
 07/07  17:00:00,54.92019681,9.526118998,0.240884751,0,34.38215545,10.77103761,0,0,,
 07/07  18:00:00,42.14613573,9.526118998,0.124324112,0,22.92143696,9.574255654,0,0,,
 07/07  19:00:00,42.02852895,9.526118998,0.006717329,0,22.92143696,9.574255654,0,0,,
 07/07  20:00:00,37.00479017,9.526118998,0,0,19.10119747,8.377473697,0,0,,
 07/07  21:00:00,20.69360682,0,0,0,7.640478988,4.787127827,0,0,,
 07/07  22:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/07  23:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/07  24:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 07/08  01:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/08  02:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/08  03:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/08  04:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/08  05:00:00,6.460626015,0,0,0,1.910119747,1.795172935,0,0,,
 07/08  06:00:00,13.59961037,9.532438012,0,0.361879675,1.910119747,1.795172935,44.48633001,44.48633001,,
 07/08  07:00:00,17.23512348,9.532438012,0,0.292100107,3.820239494,3.59034587,33.91159503,33.91159503,,
 07/08  08:00:00,27.21550618,9.532438012,0,0.238439905,11.46071848,5.983909784,25.0734449,25.0734449,,
 07/08  09:00:00,42.17037489,9.532438012,0,0.142244256,22.92143696,9.574255654,8.587619617,8.587619617,,
 07/08  10:00:00,54.71670337,9.531384843,0,0.032125473,34.38215545,10.77103761,0.077260136,0.077260136,,
 07/08  11:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0,0,,
 07/08  12:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0,0,,
 07/08  13:00:00,54.67931205,9.526118998,0,0,34.38215545,10.77103761,0,0,,
 07/08  14:00:00,54.76602178,9.526118998,0.086709729,0,34.38215545,10.77103761,0,0,,
 07/08  15:00:00,54.9215395,9.526118998,0.242227441,0,34.38215545,10.77103761,0,0,,
 07/08  16:00:00,54.99023634,9.526118998,0.310924282,0,34.38215545,10.77103761,0,0,,
 07/08  17:00:00,54.88755642,9.526118998,0.20824437,0,34.38215545,10.77103761,0,0,,
 07/08  18:00:00,37.00479017,9.526118998,0,0,19.10119747,8.377473697,0,0,,
 07/08  19:00:00,26.97074726,9.526118998,0,0,11.46071848,5.983909784,0,0,,
 07/08  20:00:00,26.97074726,9.526118998,0,0,11.46071848,5.983909784,0.245481062,0.245481062,,
 07/08  21:00:00,25.29478281,9.532438012,0,0.085759435,3.820239494,3.59034587,14.05016938,14.05016938,,
 07/08  22:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/08  23:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/08  24:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/09  01:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/09  02:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/09  03:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/09  04:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 07/09  05:00:00,6.460626015,0,0,0,1.910119747,1.795172935,0,0,,
 07/09  06:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
 07/09  07:00:00,3.705292682,0,0,0,1.910119747,1.795172935,0,0,,
