Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/12  19:00:00,339.702498882,35.64579397,58.6676140711,0.0,80.3315023541,83.7685254822,389.700960096,145.629834804,49.9818,194.089325292
 11/12  20:00:00,356.601560967,35.64579397,71.5894791089,0.0,102.000620287,77.6748002752,422.776827705,140.061757228,33.3212,249.393870477
 11/12  21:00:00,385.805572047,35.64579397,80.2486250191,0.0,108.704857014,91.4735406516,415.976536257,135.754141475,33.3212,246.901194782
 11/12  22:00:00,359.28464228,35.64579397,81.8866991805,0.0,95.2963835608,89.1510273009,414.382663792,134.186450087,24.9909,255.205313704
 11/12  23:00:00,305.31567971,35.64579397,81.0948511126,0.0,80.3315023541,63.3799339444,521.82271554,136.459052229,16.6606,368.70306331
 11/12  24:00:00,218.930599537,35.64579397,59.1600481055,0.0,42.6918050922,48.4199368926,365.275698663,141.833052709,8.3303,215.112345954
 11/13  01:00:00,157.83395406,30.9846629218,45.1274299536,0.0,25.5240853573,30.610668775,182.822695683,56.2851084695,3.33212,123.205467214
 11/13  02:00:00,142.911034588,30.9846629218,37.5733326308,0.0,19.418418834,29.3649097162,141.86065023,44.3843622781,3.33212,94.1441679518
 11/13  03:00:00,132.513741303,30.9846629218,35.1030165348,0.0,12.7620426787,28.1191506574,134.612725501,37.1406082283,3.33212,94.1399972731
 11/13  04:00:00,130.716532786,30.9846629218,33.3206861919,0.0,12.7620426787,28.1191506574,130.339055433,32.8716087056,3.33212,94.1353267275
 11/13  05:00:00,136.834842369,30.9846629218,32.8689103752,0.0,12.7620426787,28.1191506574,157.475030457,30.9331881628,3.33212,123.209722294
 11/13  06:00:00,173.629466297,30.9846629218,42.0345158634,0.0,25.5240853573,30.610668775,253.679380511,29.7618059328,8.3303,215.587274578
 11/13  07:00:00,302.472114225,33.587127757,70.4821835345,0.0,51.0481707146,78.1489452969,414.272400864,27.083352406,16.6606,370.528448458
 11/13  08:00:00,374.404784405,35.6462544197,93.2457037975,0.0,64.3609230253,109.708623606,654.42552031,135.575739198,24.9909,493.858881111
 11/13  09:00:00,301.646213026,35.64579397,68.7197160474,0.0,51.0481707146,80.7689615957,577.511659775,159.480381301,33.3212,384.710078474
 11/13  10:00:00,262.841624453,36.0135462231,57.8190524502,0.0,51.0481707146,71.0224615957,508.875624307,158.029155807,66.8089,284.0375685
 11/13  11:00:00,201.911969137,36.1962832538,45.4908182361,0.0,32.1804615127,65.7244621605,479.763025218,163.688100565,83.4695,232.605424653
 11/13  12:00:00,196.144147468,36.2875037516,39.0039947767,0.0,32.1804615127,65.7244621605,417.233543184,166.953778086,83.4695,166.810265098
 11/13  13:00:00,193.967389687,36.319320994,37.5406727857,0.0,32.1804615127,65.7244621605,418.689577897,168.630294769,83.4695,166.589783129
 11/13  14:00:00,183.546965492,36.347187527,36.8218978984,0.0,32.1804615127,55.9779621605,416.361090443,171.473871409,75.1392,169.748019034
 11/13  15:00:00,184.372058054,36.4142333684,37.7875327155,0.0,32.1804615127,55.9779621605,381.652274561,152.140543217,66.8089,162.702831344
 11/13  16:00:00,184.794903434,36.444620853,38.4499321853,0.0,32.1804615127,55.9779621605,384.809751308,141.165151337,75.1392,168.50539997
