Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 03/08  09:00:00,41.6048970776,3.70551331767,0.0,0.0,9.17985065927,26.9147,87.2665962474,38.1823870612,33.3988,15.6854091861
 03/08  10:00:00,34.1192973254,3.70551331767,0.0,0.0,9.17985065927,19.4245,76.9718922624,39.1721508296,25.0491,12.7506414329
 03/08  11:00:00,41.6229216031,3.70551331767,0.00810216869397,0.0,9.17985065927,26.9147,91.7276987839,38.9787323013,41.7485,11.0004664825
 03/08  12:00:00,42.3446217614,3.70551331767,0.0,0.0,9.17985065927,26.9147,87.8160424624,33.3156056316,41.7485,12.7519368307
 03/08  13:00:00,41.6638791675,3.70551331767,0.0,0.0,9.17985065927,26.9147,81.1816071649,27.8547625592,41.7485,11.5783446057
 03/08  14:00:00,34.1403897197,3.70551331767,0.0,0.0,9.17985065927,19.4245,74.2736847632,31.0425716531,33.3988,9.83231311015
 03/08  15:00:00,34.1387407484,3.70551331767,0.0,0.0,9.17985065927,19.4245,71.1339267514,37.4180030662,25.0491,8.66682368522
 03/08  16:00:00,34.124996471,3.70551331767,0.0,0.0,9.17985065927,19.4245,83.9443547421,41.8799613966,33.3988,8.6655933455
 03/08  17:00:00,41.5535056123,3.70551331767,0.0072126315174,0.0,9.17985065927,26.9147,100.83782186,42.0738328065,50.0982,8.6657890531
 03/08  18:00:00,42.616058695,3.70551331767,0.0,0.0,9.17985065927,26.9147,99.6935982567,38.5941772082,50.0982,11.0012210485
 03/08  19:00:00,45.8015808497,3.70551331767,0.00180974790365,0.0,9.17985065927,26.9147,97.9953222702,32.2099063979,50.0982,15.6872158723
 03/08  20:00:00,38.4426768017,3.70551331767,0.0,0.0,9.17985065927,19.4245,83.8454352626,33.5750132958,33.3988,16.8716219669
 03/08  21:00:00,38.4240601892,3.70551331767,0.0,0.0,9.17985065927,19.4245,80.9364319472,33.6128816302,33.3988,13.924750317
 03/08  22:00:00,38.3502662097,3.70551331767,0.0,0.0,9.17985065927,19.4245,80.8637439779,40.1286128679,25.0491,15.68603111
 03/08  23:00:00,38.2318483095,3.70551331767,0.0,0.0,9.17985065927,19.4245,75.7483679486,46.2984079352,16.6994,12.7505600134
 03/08  24:00:00,39.0013515743,3.70551331767,0.0,0.0,9.17985065927,19.4245,69.3149200691,54.0385521521,8.3497,6.92666791705
 03/09  01:00:00,22.2638694067,3.70551331767,0.0,0.0,4.58992532963,8.1892,69.8190357656,60.7113626083,3.33988,5.76779315729
 03/09  02:00:00,14.7334909631,0.0,0.0,0.0,1.52997510988,7.4902,3.93194578464,0.0,3.33988,0.592065784636
 03/09  03:00:00,14.759127355,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 03/09  04:00:00,14.7722309821,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 03/09  05:00:00,14.9240912847,0.0,0.0,0.0,1.52997510988,7.4902,3.93195169802,0.0,3.33988,0.59207169802
 03/09  06:00:00,22.389615466,3.70551331767,0.0,0.0,4.58992532963,8.1892,69.5597778938,61.1900778938,8.3497,0.02
 03/09  07:00:00,36.2366327996,3.70551331767,0.0134922386942,0.0,9.17985065927,19.4245,77.9068273249,56.5938466642,16.6994,4.61358066071
 03/09  08:00:00,41.6009971023,3.70551331767,0.0164481543769,0.0,9.17985065927,26.9147,87.1352055854,45.2164673699,25.0491,16.8696382155
 03/09  09:00:00,41.6082904166,3.70551331767,0.0,0.0,9.17985065927,26.9147,91.9000489376,42.8152878037,33.3988,15.6859611338
 03/09  10:00:00,34.1279279142,3.70551331767,0.0,0.0,9.17985065927,19.4245,78.9124924364,41.1127308487,25.0491,12.7506615878
 03/09  11:00:00,41.6194436367,3.70551331767,0.00848923357281,0.0,9.17985065927,26.9147,97.2590958019,44.5092820147,41.7485,11.0013137872
 03/09  12:00:00,42.3464590791,3.70551331767,0.0,0.0,9.17985065927,26.9147,91.4026960985,36.9053542527,41.7485,12.7488418458
 03/09  13:00:00,41.6696145347,3.70551331767,0.0,0.0,9.17985065927,26.9147,79.0882197171,25.7619001957,41.7485,11.5778195214
 03/09  14:00:00,34.1498354928,3.70551331767,0.0,0.0,9.17985065927,19.4245,70.4238390953,27.1937100283,33.3988,9.83132906695
 03/09  15:00:00,34.148558069,3.70551331767,0.0,0.0,9.17985065927,19.4245,66.9008051339,33.1862043762,25.0491,8.66550075773
