Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/27  04:00:00,37.4905969761,5.59297723694,4.46445430812,0.0,8.25718729233,11.6354268332,13.7938882681,8.03205481449,0.0,5.76183345359
 06/27  05:00:00,37.765351366,5.61436089885,4.67408166296,0.0,12.1011305571,15.3678112995,12.9162421064,7.13755470976,0.0,5.77868739667
 06/27  06:00:00,72.3224787594,6.2234960411,9.09367011735,0.0,19.7275818095,37.2640762949,14.896190973,3.30488658989,0.0,11.5913043831
 06/27  07:00:00,95.0490950789,6.69475899591,12.744795823,0.0,24.3117294858,51.2795993405,18.1824602792,0.739105253125,0.0,17.4433550261
 06/27  08:00:00,81.5924325724,6.25354222056,11.0045427571,0.0,23.6694662846,40.6342015617,23.5011564399,0.0113468241914,0.0,23.4898096157
 06/27  09:00:00,81.6783974545,6.30505957397,16.0463882187,0.0,23.6694662846,35.6302164847,41.4441159698,0.0,18.025,23.4191159698
 06/27  10:00:00,64.8234989141,6.15811431569,16.9351753481,0.0,18.7433767983,22.9618409725,41.4024168756,0.0,18.025,23.3774168756
 06/27  11:00:00,67.3261733007,6.31247551683,19.2857648025,0.0,18.7433767983,22.9618409725,35.5286701814,0.0,18.025,17.5036701814
 06/27  12:00:00,68.602606154,6.44327665064,20.3879506701,0.0,18.5889407304,23.1597249699,41.3532742738,0.0,18.025,23.3282742738
 06/27  13:00:00,69.730882784,6.55620255381,21.1567949239,0.0,18.7433767983,23.2517909448,35.5266942681,0.0,18.025,17.5016942681
 06/27  14:00:00,71.4326656673,6.68092628432,22.7338571371,0.0,18.7433767983,23.2517909448,41.349061678,0.0,18.025,23.324061678
 06/27  15:00:00,72.5412237127,6.79473063984,24.0185615864,0.0,18.7433767983,22.9618409725,35.5276137962,0.0,18.025,17.5026137962
 06/27  16:00:00,77.1823160352,6.88970956263,24.1133528657,0.0,18.7433767983,27.431320555,23.7872966265,0.0,18.025,5.76229662651
 06/27  17:00:00,90.0946250376,7.21351631139,24.5135779552,0.0,17.6635504202,40.6971502883,5.77325959357,0.0,0.0,5.77325959357
 06/27  18:00:00,97.538030238,7.46341644895,25.2021862299,0.0,27.5259009287,37.3340067412,11.5801664487,0.0,0.0,11.5801664487
 06/27  19:00:00,99.6628153463,7.59881266982,24.8663214807,0.0,33.8341110165,33.3544677425,5.78377466706,0.0,0.0,5.78377466706
 06/27  20:00:00,104.527664142,7.65345267765,21.5223687417,0.0,36.5179666069,38.8247702939,11.5629214031,0.0152824531158,0.0,11.54763895
 06/27  21:00:00,103.823618965,7.48967334826,18.9610146507,0.0,32.965339924,36.8579353714,11.5907560844,0.0,0.0,11.5907560844
 06/27  22:00:00,75.3931986287,6.92641766922,14.6411015542,0.0,25.6355707503,20.6438685092,5.95120602562,0.162408321849,0.0,5.78879770377
 06/27  23:00:00,51.6753378069,6.42420423294,10.9785468812,0.0,15.0252895274,11.7056064465,6.82404944909,1.05613446663,0.0,5.76791498246
 06/27  24:00:00,44.8902534464,6.21874932905,9.42468923063,0.0,11.6412384099,10.0650221343,6.81425109297,1.05175181323,0.0,5.76249927974
 06/28  01:00:00,42.0972455989,6.07286656016,8.33829144376,0.0,10.0992000411,10.047477231,1.39936207918,1.37936207918,0.0,0.02
 06/28  02:00:00,38.6224377428,5.89151726635,6.90438776316,0.0,8.25718729233,10.0299323277,9.52623894996,3.76917537835,0.0,5.7570635716
 06/28  03:00:00,37.4664473788,5.76521279411,5.87470216192,0.0,8.25718729233,10.0299323277,11.7928308581,6.03618123231,0.0,5.75664962584
 06/28  04:00:00,38.2471329118,5.67425688737,5.139714539,0.0,8.25718729233,11.6354268332,7.28203220239,7.26203220239,0.0,0.02
 06/28  05:00:00,38.7751453106,5.721450235,5.57678909943,0.0,12.1011305571,15.3678112995,16.596256594,5.05940778213,0.0,11.5368488119
 06/28  06:00:00,73.6913506421,6.36463041021,10.321412395,0.0,19.7275818095,37.2640762949,13.1582017158,1.56831314133,0.0,11.5898885744
 06/28  07:00:00,96.5686917253,6.83540421459,14.1237622347,0.0,24.3117294858,51.2795993405,11.6879578274,0.0519205878089,0.0,11.6360372396
 06/28  08:00:00,83.238907699,6.36174703224,12.5428178423,0.0,23.6694662846,40.6342015617,29.3679110042,0.0110420244758,0.0,29.3568689797
 06/28  09:00:00,82.1450771233,6.36234915507,16.4557859702,0.0,23.6694662846,35.6302164847,41.4429308247,0.0,18.025,23.4179308247
 06/28  10:00:00,63.534297334,6.15947568192,15.6446134029,0.0,18.7433767983,22.9618409725,41.4029842517,0.0,18.025,23.3779842517
 06/28  11:00:00,64.4235145751,6.24877053428,16.4468143953,0.0,18.7433767983,22.9618409725,35.5285263811,0.0,18.025,17.5035263811
 06/28  12:00:00,67.3790945549,6.41262978119,19.1950843956,0.0,18.5889407304,23.1597249699,36.2696520354,0.0,18.025,18.2446520354
 06/28  13:00:00,69.5869248439,6.55764970491,21.0113976138,0.0,18.7433767983,23.2517909448,40.6066682335,0.0,18.025,22.5816682335
 06/28  14:00:00,71.1047443249,6.66852893828,22.4183320243,0.0,18.7433767983,23.2517909448,35.523600338,0.0,18.025,17.498600338
 06/28  15:00:00,71.1425979177,6.73536608411,22.6793035427,0.0,18.7433767983,22.9618409725,41.3503216461,0.0,18.025,23.3253216461
 06/28  16:00:00,75.5918519794,6.81479007362,22.5978150481,0.0,18.7433767983,27.431320555,18.045,0.0,18.025,0.02
 06/28  17:00:00,87.9475115747,7.10430182074,22.4756815801,0.0,17.6635504202,40.6971502883,5.7731332333,0.0,0.0,5.7731332333
 06/28  18:00:00,92.9760613055,7.24605161098,20.8575898257,0.0,27.5259009287,37.3340067412,11.5802836738,0.0,0.0,11.5802836738
 06/28  19:00:00,92.9593283504,7.28447636403,18.4771709714,0.0,33.8341110165,33.3544677425,11.5479787286,0.0,0.0,11.5479787286
 06/28  20:00:00,100.63857286,7.35593508766,17.9308027488,0.0,36.5179666069,38.8247702939,5.83951727738,0.0553710084439,0.0,5.78414626893
 06/28  21:00:00,102.096941569,7.32871609364,17.3953014573,0.0,32.965339924,36.8579353714,11.5905031273,0.0,0.0,11.5905031273
 06/28  22:00:00,74.7781249732,6.85321039926,14.0992365522,0.0,25.6355707503,20.6438685092,11.559182593,0.0,0.0,11.559182593
 06/28  23:00:00,51.4398768284,6.38946264978,10.777830755,0.0,15.0252895274,11.7056064465,6.19442679394,0.426536100698,0.0,5.76789069324
 06/28  24:00:00,44.2986729832,6.15084464491,8.901019181,0.0,11.6412384099,10.0650221343,7.08243960631,1.32009059932,0.0,5.76234900698
 06/29  01:00:00,41.3265884566,5.99401876342,7.64648331556,0.0,10.0992000411,10.047477231,1.73877339149,1.71877339149,0.0,0.02
 06/29  02:00:00,38.2071572011,5.85183339883,6.52879120676,0.0,8.25718729233,10.0299323277,8.59588307101,2.83907997363,0.0,5.75680309738
 06/29  03:00:00,37.2758780715,5.74823988104,5.70111106219,0.0,8.25718729233,10.0299323277,4.44715111582,4.42715111582,0.0,0.02
 06/29  04:00:00,38.1627662733,5.66762100677,5.061982339,0.0,8.25718729233,11.6354268332,11.3927987257,5.63082973939,0.0,5.76196898632
 06/29  05:00:00,40.1623431493,5.67562300185,5.12582191453,0.0,12.1011305571,15.3678112995,11.2981280505,5.51957963332,0.0,5.77854841717
 06/29  06:00:00,72.0457127202,6.21148834848,8.82892299347,0.0,19.7275818095,37.2640762949,15.8622994386,4.27052011231,0.0,11.5917793263
 06/29  07:00:00,93.7379952267,6.5850353031,11.543441254,0.0,24.3117294858,51.2795993405,20.4603662293,3.01725701255,0.0,17.4431092167
 06/29  08:00:00,79.4299783684,6.11168646363,8.98395595353,0.0,23.6694662846,40.6342015617,29.7329465717,0.377933637589,0.0,29.3550129342
 06/29  09:00:00,74.3303552388,6.07148337111,8.93192956807,0.0,23.6694662846,35.6302164847,41.4388415428,0.0,18.025,23.4138415428
 06/29  10:00:00,55.511715079,5.85361975036,7.92789544701,0.0,18.7433767983,22.9618409725,36.0956292237,0.533842523777,18.025,17.5367866999
 06/29  11:00:00,56.200518906,5.90213921421,8.5704511572,0.0,18.7433767983,22.9618409725,41.4879128147,0.13058806548,18.025,23.3323247492
 06/29  12:00:00,56.8712474772,5.92576330785,9.17410828026,0.0,18.5889407304,23.1597249699,35.9414025111,0.412954030002,18.025,17.5034484811
 06/29  13:00:00,57.96326747,5.99225230582,9.95313553858,0.0,18.7433767983,23.2517909448,41.3485558868,0.0,18.025,23.3235558868
 06/29  14:00:00,57.9817798648,5.97158839417,9.99231587193,0.0,18.7433767983,23.2517909448,35.5260461314,0.0,18.025,17.5010461314
 06/29  15:00:00,57.575026258,5.98390172275,9.86319322468,0.0,18.7433767983,22.9618409725,35.5262519819,0.0,18.025,17.5012519819
 06/29  16:00:00,61.3953549457,6.02340941599,9.19270338054,0.0,18.7433767983,27.431320555,23.7870948736,0.0,18.025,5.76209487362
 06/29  17:00:00,75.0266225474,6.26530045352,10.3938039429,0.0,17.6635504202,40.6971502883,5.77293471947,0.0,0.0,5.77293471947
 06/29  18:00:00,82.6148860952,6.44997835362,11.2924953074,0.0,27.5259009287,37.3340067412,11.7599531757,0.18005161175,0.0,11.5799015639
 06/29  19:00:00,85.8033281928,6.58367351361,12.0219831527,0.0,33.8341110165,33.3544677425,7.266069535,1.48267392373,0.0,5.78339561127
 06/29  20:00:00,95.1808314424,6.76815321571,13.0608435282,0.0,36.5179666069,38.8247702939,14.9090225216,3.36128923965,0.0,11.5477332819
 06/29  21:00:00,97.5051683236,6.8170691018,13.3151843246,0.0,32.965339924,36.8579353714,15.4976668403,3.90693541465,0.0,11.5907314256
 06/29  22:00:00,70.5102601496,6.36854935736,10.316039701,0.0,25.6355707503,20.6438685092,16.1399867758,4.58157975215,0.0,11.5584070236
 06/29  23:00:00,47.677939598,5.9616371006,7.44372335501,0.0,15.0252895274,11.7056064465,5.48331205916,5.46331205916,0.0,0.02
 06/29  24:00:00,41.0825086026,5.78719926003,6.04850149674,0.0,11.6412384099,10.0650221343,12.1480015895,6.38555925782,0.0,5.76244233171
 06/30  01:00:00,38.4584271835,5.67121826,5.10112000837,0.0,10.0992000411,10.047477231,12.7640844228,7.0070390355,0.0,5.75704538728
 06/30  02:00:00,35.7797806768,5.57912062369,4.37413493462,0.0,8.25718729233,10.0299323277,7.30222190081,7.28222190081,0.0,0.02
 06/30  03:00:00,35.163374102,5.50878094341,3.8280622049,0.0,8.25718729233,10.0299323277,13.8442298061,8.08761018241,0.0,5.75661962364
 06/30  04:00:00,36.2607190048,5.44961135563,3.37794910734,0.0,8.25718729233,11.6354268332,14.8658865882,9.10403096531,0.0,5.76185562288
 06/30  05:00:00,38.4141842275,5.47205391109,3.5812340706,0.0,12.1011305571,15.3678112995,14.1355854545,8.35696761416,0.0,5.77861784034
 06/30  06:00:00,70.2399854351,5.99841644556,7.23627781813,0.0,19.7275818095,37.2640762949,18.8423046686,7.25273170968,0.0,11.5895729589
 06/30  07:00:00,92.0586204328,6.39105473233,10.0580543939,0.0,24.3117294858,51.2795993405,23.0093048809,5.56728890452,0.0,17.4420159764
 06/30  08:00:00,77.3145817524,5.88438611537,7.09586758889,0.0,23.6694662846,40.6342015617,25.0608651747,1.57404963546,0.0,23.4868155392
 06/30  09:00:00,72.1132621872,5.83974065355,6.94658640951,0.0,23.6694662846,35.6302164847,42.60963213,1.16519691645,18.025,23.4194352136
 06/30  10:00:00,53.2310140765,5.65292945151,5.84788511053,0.0,18.7433767983,22.9618409725,42.8255792412,1.426603023,18.025,23.3739762181
 06/30  11:00:00,53.7063079113,5.69245563087,6.28592625818,0.0,18.7433767983,22.9618409725,36.2125762921,0.685509310867,18.025,17.5020669812
 06/30  12:00:00,54.2612847227,5.71030298132,6.77960950676,0.0,18.5889407304,23.1597249699,42.3378031923,0.986915806206,18.025,23.3258873861
 06/30  13:00:00,55.4634298338,5.77416648595,7.67138608297,0.0,18.7433767983,23.2517909448,35.5337974044,0.00562193849597,18.025,17.5031754659
 06/30  14:00:00,56.1806753991,5.83438789666,8.32841006326,0.0,18.7433767983,23.2517909448,35.5220675968,0.0,18.025,17.4970675968
 06/30  15:00:00,56.5878084804,5.88527150245,8.97461397451,0.0,18.7433767983,22.9618409725,41.3536512593,0.0,18.025,23.3286512593
 06/30  16:00:00,60.5022040613,5.94097629451,8.38198116834,0.0,18.7433767983,27.431320555,23.787174992,0.0,18.025,5.76217499198
 06/30  17:00:00,74.8919807324,6.24656845689,10.2778908382,0.0,17.6635504202,40.6971502883,5.77297978618,0.0,0.0,5.77297978618
 06/30  18:00:00,82.7300433061,6.46197500114,11.3956609319,0.0,27.5259009287,37.3340067412,11.6946600222,0.11448295528,0.0,11.5801770669
 06/30  19:00:00,86.1622145685,6.62432459422,12.340221237,0.0,33.8341110165,33.3544677425,6.56545172831,0.781558321125,0.0,5.78389340718
 06/30  20:00:00,95.7046575481,6.83711814058,13.5157136682,0.0,36.5179666069,38.8247702939,7.15655529007,1.37325180359,0.0,5.78330348648
 06/30  21:00:00,97.7993647063,6.8646076415,13.5618453464,0.0,32.965339924,36.8579353714,13.2542839467,1.66278919241,0.0,11.5914947543
 06/30  22:00:00,70.817927167,6.41546024695,10.5768029543,0.0,25.6355707503,20.6438685092,13.7212512962,2.16242275641,0.0,11.5588285398
 06/30  23:00:00,47.9866892703,6.0035862345,7.71052532734,0.0,15.0252895274,11.7056064465,8.92795014449,3.16016537528,0.0,5.76778476921
